1f8290 36d01f30 21d0c0
17a7a0 323a1f30 1c2050
33b320 3d487f30 3b5000
365e80 383e6f30 402010
24d690 30afcf30 2990ec
1a8140 35bc0f30 20e03c
41e2c0 3c038f30 4230e8
2ae430 3806bf30 312040
31b0f0 36936f30 3220f0
253750 32bd9f30 26b0e0
403e20 3b85df30 444088
25db30 3c35bf30 27a0a0
3ac450 3e694f30 3ea0d0
1f9180 3d89df30 2360c8
19a180 379dcf30 1c2050
3eca10 308e5f30 481010
41e2b0 36399f30 4c4010
3116d0 36fcbf30 374060
396890 39fa8f30 3c2088
2b5e30 323fcf30 329068
24ff30 38840f30 2af000
266650 3cc0bf30 26b0e8
47e930 3f668f30 4830e8
210680 37ce4f30 28e000
198830 3431af30 214010
2d9000 3bfdcf30 36d000
29ddc0 3940bf30 312000
351370 327f3f30 37c090
338b90 3cb60f30 384050
28f640 3467af30 2a30e0
2bedb0 3db53f30 2c3100
193190 37922f30 224048
215650 34ed3f30 2440e8
26ed20 3a264f30 2de000
419390 35d3ef30 475068
32d760 3214ef30 35f100
3d5940 37351f30 400080
2cecb0 36c2ff30 31d030
3b06d0 39e0df30 40c0a0
155020 3472af30 1e6000
21a110 36dfdf30 2350f0
138950 3b3e5f30 1c803c
19b820 3064cf30 21c000
26f010 3734df30 2a5050
20d2c0 31d8af30 290088
35d530 32dcaf30 3f4030
28f5d0 3f4aff30 2ee000
2c5f70 3683af30 35c088
21a780 3c3a0f30 23208c
41fa00 3aae4f30 482030
3ce170 35773f30 455048
312320 3863bf30 3170e8
26a9b0 32e10f30 26f100
3d2560 32e71f30 40d010
1eac00 34171f30 255000
1b9920 38b05f30 247000
3a8650 3f67df30 3c3060
408670 3f7d5f30 42707c
1d59d0 37bf6f30 277000
1ccb80 3a729f30 23a068
18a2c0 38a71f30 1cb060
2fba00 3ecb9f30 34e0a8
46f880 3cdfbf30 4760fc
2148c0 3a180f30 268060
158670 3c82af30 1a70d0
2fbfd0 30090f30 3660c8
256e30 33baaf30 29f0cc
3ac2d0 397b6f30 414000
2ee3b0 3f1eaf30 392000
42aed0 36c15f30 439100
3a15d0 37581f30 3ec06c
42d810 3103bf30 4a0068
2db4a0 308a9f30 34b090
3cc890 34287f30 3f20c8
3410d0 30ebbf30 346100
229660 32572f30 2d9000
3dc1d0 3530af30 44b04c
1d13f0 3a776f30 229020
249c90 3e5b3f30 2850a8
215f20 3ea73f30 28203c
3b76d0 3d6e3f30 3f2040
1ae820 3b997f30 1fc030
177c70 353ecf30 1f4030
390e00 3d268f30 41a000
304860 3063ff30 3150b0
1e2c80 3ef11f30 2180a0
1b3150 3fd97f30 1ca0e8
3556b0 32338f30 3690ec
452330 3182af30 4740a8
332330 375dcf30 38c060
236650 3fbb5f30 2e7000
433590 3b220f30 4380e0
293980 30102f30 2c70f0
273320 3bd95f30 2af050
1a0920 3d3aef30 227000
300ce0 3e615f30 3270a0
2e43f0 35c63f30 326060
1f5aa0 3bf77f30 1fa0e8
359420 33d74f30 388090
3fc3d0 3a503f30 48b020
26cd80 3e37bf30 2cf03c
1e6e00 3f9f4f30 245010
2d39d0 3e2f1f30 2e80c8
3dc710 30057f30 45f000
1ac1e0 3fda8f30 216030
439400 3659cf30 45f0e0
275fc0 3f11af30 30d000
2aefd0 3cdb9f30 325010
3a22f0 3bc3ef30 3e2088
3c60f0 3bfeef30 3e20e4
3bbd90 323a4f30 3cd0e8
2e0bc0 313e5f30 3070a0
345aa0 33facf30 356100
248520 3f50df30 2e2000
2eb0f0 3842cf30 365090
2399e0 302e2f30 2bc030
1c8710 37b5ff30 1f10a0
248df0 3b506f30 283030
2da5e0 3fbd0f30 323068
1f59f0 3c841f30 2500a8
1f7070 38684f30 2530a4
265480 328c4f30 31c000
418140 36292f30 45c000
291790 31a61f30 2f5050
4482b0 3812ff30 483060
1e67f0 38632f30 260030
295910 3d8f4f30 2d50c8
2573c0 3f371f30 2870bc
386b50 33f1ef30 3ce000
388e30 3bd7bf30 39d0f0
2daeb0 387e9f30 33b040
334020 3f690f30 369090
36edc0 35bfdf30 3ba0a0
1fcec0 3d36bf30 2080e8
2f69a0 331d9f30 345060
